Date,Power Station Name,Mode of Transport,State Name,State Code,Sector,Utility,Capacity (MW),Normative Stock Days,industrial_index,manufacturing_pmi,domestic_coal_price_index,international_coal_price_index,exchange_rate,plf_prcnt,daily_requirement,indigenous_stock,import_stock,total_stock
2021-01-01,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,60.707105754757,16696.089486520945,300950.0540908986,144343.21904048708,445293.2731313857
2021-01-02,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,60.265109473509014,16574.52860212896,307033.21218839096,140190.1511528804,447223.36334127135
2021-01-03,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,62.305823016462966,17135.779801735764,298512.77203826496,151329.63474015787,449842.4067784228
2021-01-04,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,59.30863549413583,16311.472491108676,336678.33759141027,116768.35811445245,453446.6957058627
2021-01-05,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,58.582837731748526,16111.858554004033,328962.32466142473,126421.3699367661,455383.69459819084
2021-01-06,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,61.17777935317899,16825.537405681225,298922.2849647299,157701.63344628253,456623.91841101245
2021-01-07,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,59.422621331040624,16342.821666950575,323675.3103181574,135478.49929924635,459153.8096174038
2021-01-08,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,60.64021259602687,16677.69206581856,316598.69938388665,146056.98964765947,462655.6890315461
2021-01-09,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,60.45160877477768,16625.820934129344,339958.0194923749,124764.66156353167,464722.6810559066
2021-01-10,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,61.665899755766205,16959.783665990777,319361.6776249828,147282.10729901632,466643.7849239991
2021-01-11,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,60.88670226931487,16745.48336621995,334547.7859446617,133734.3471430036,468282.1330876653
2021-01-12,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,62.23597672151251,17116.57018901751,313246.9820047319,156688.78856900003,469935.7705737319
2021-01-13,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,62.46729992545148,17180.190301774597,331714.8975809119,138219.07033643243,469933.9679173443
2021-01-14,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,62.019384294784444,17057.001436829534,319749.0562315364,150893.32549035276,470642.38172188913
2021-01-15,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,59.39577980261098,16335.439523541747,314305.7751758091,157278.67644265725,471584.45161846635
2021-01-16,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,61.11327554612242,16807.797121056414,337260.5825440272,136469.3036466678,473729.886190695
2021-01-17,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,63.33527197943266,17418.905999136492,340145.62213212467,136339.48560993705,476485.1077420617
2021-01-18,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,58.71469888266681,16148.123922747207,357282.0908264046,120153.6970246858,477435.78785109037
2021-01-19,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,62.71423479676435,17248.10404362613,344505.0077508347,136036.0874483058,480541.0951991405
2021-01-20,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,63.91871940511753,17579.369758836507,337529.85129224707,143575.9159782678,481105.76727051486
2021-01-21,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,59.776573432510105,16440.1680300592,359806.6055857565,125590.6826371004,485397.2882228569
2021-01-22,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,58.83706687763222,16181.778417864833,355973.5408867345,129779.59780158772,485753.1386883222
2021-01-23,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,59.39841639289539,16336.164656897728,344678.2858468297,144314.04304588196,488992.32889271167
2021-01-24,Thermal Power Plant A,RAIL,Maharashtra,MH,Central,NTPC,1602,23,99.11049590556246,49.800680804992396,101.70660495367846,110.46190744589026,75.46292029555772,59.05953527318174,16242.963219772912,345300.01455584634,147187.25248393527,492487.2670397816
